Country,Region,shapeName,shapeISO,shapeID,shapeGroup,shapeType
South Sudan,Unity,Unity,SS-UY,48771326B37591972128550,SSD,ADM1
South Sudan,Jonglei,Jonglei,SS-JG,48771326B48659004133869,SSD,ADM1
South Sudan,Western Bahr El Ghazal,Western Bahr el Ghazal,SS-BW,48771326B76913720880161,SSD,ADM1
South Sudan,Central Equatoria,Central Equatoria,SS-EC,48771326B10235544430886,SSD,ADM1
South Sudan,Lakes,Lakes,SS-LK,48771326B2646389376646,SSD,ADM1
South Sudan,Northern Bahr El Ghazal,Northern Bahr el Ghazal,SS-BN,48771326B49579010016854,SSD,ADM1
South Sudan,Western Equatoria,Western Equatoria,SS-EW,48771326B90797869503386,SSD,ADM1
South Sudan,Upper Nile,Upper Nile,SS-NU,48771326B2876692069974,SSD,ADM1
Sudan,Khartoum,Khartoum,SD-KH,86620642B69351377969837,SDN,ADM1
Sudan,South Darfur,South Darfur,SD-DS,86620642B33888251991816,SDN,ADM1
Sudan,North Darfur,North Darfur,SD-DN,86620642B32784125865646,SDN,ADM1
Sudan,Red Sea,Red Sea,SD-RS,86620642B7664605185235,SDN,ADM1
Sudan,Kassala,Kassala,SD-KA,86620642B34113093603931,SDN,ADM1
Sudan,River Nile,River Nile,SD-NR,86620642B58839150544065,SDN,ADM1
Sudan,Sennar,Sennar,SD-SI,86620642B212901614698,SDN,ADM1
Sudan,North Kordofan,North Kordofan,SD-KN,86620642B75144405979625,SDN,ADM1
Sudan,Gezira,Gezira,SD-GZ,86620642B80352504723135,SDN,ADM1
Sudan,East Darfur,East Darfur,SD-DE,86620642B42892304507154,SDN,ADM1
Sudan,White Nile,White Nile,SD-NW,86620642B32971775067484,SDN,ADM1
Sudan,Blue Nile,Blue Nile,SD-NB,86620642B86272532082738,SDN,ADM1
Ethiopia,Addis Ababa,Addis Ababa,ET-AA,75662566B5378229891244,ETH,ADM1
Ethiopia,Oromia,Oromia,ET-OR,75662566B9273833721501,ETH,ADM1
Ethiopia,Amhara,Amhara,ET-AM,75662566B52684709481520,ETH,ADM1
Ethiopia,Tigray,Tigray,ET-TI,75662566B45163836206557,ETH,ADM1
Kenya,Nairobi,Nairobi,KE-30,32016919B57908315498598,KEN,ADM1
Kenya,Kisumu,Kisumu,KE-17,32016919B35081513576883,KEN,ADM1
Kenya,Mombasa,Mombasa,KE-28,32016919B10079274489584,KEN,ADM1
Kenya,Busia,Busia,KE-04,32016919B17784979587790,KEN,ADM1
Kenya,Mombasa,Mombasa,KE-28,32016919B10079274489584,KEN,ADM1
Somalia,Lower Juba,Lower Juba,SO-JH,83879307B35818532110087,SOM,ADM1
Somalia,Middle Juba,Middle Juba,SO-JD,83879307B33420401553888,SOM,ADM1
Somalia,Gedo,Gedo,SO-GE,83879307B34714219035659,SOM,ADM1
Tanzania,Dar Es Salaam,Dar es Salaam,TZ-02,36957248B2633782293100,TZA,ADM1
Tanzania,Arusha,Arusha,TZ-01,36957248B12876867554617,TZA,ADM1
Tanzania,Mwanza,Mwanza,TZ-18,36957248B97200142584881,TZA,ADM1
Tanzania,Dodoma,Dodoma,TZ-03,36957248B94171853380228,TZA,ADM1
Tanzania,Zanzibar,Zanzibar South & Central,TZ-11,36957248B39816127207897,TZA,ADM1
Burundi,Bujumbura,Bujumbura Rural,BI-BL,87207978B39611815861631,BDI,ADM1
Burundi,Cibitoke,Cibitoke,BI-CI,87207978B68487327478732,BDI,ADM1
Burundi,Bubanza,Bubanza,BI-BB,87207978B36636371084075,BDI,ADM1
Rwanda,Kigali,City of Kigali,RW-01,91480417B22690809677968,RWA,ADM1
